fiscal_year,agency_name,payee_name,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,agency_name_clean
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DELMARVA POWER,19101,400010.07,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DELTA EDUCATION,60695-0326,42447.02,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DEMBYS TRANSPORTATION,21613,127774.13,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DISCOVERY EDUCATION,21279-1363,174893.6,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DISYS,30384-5881,94340.18,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DONNA BRAMBLE,21613,54965.45,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DORCHESTER CAREER & TE,21613,112515.18,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DORCHESTER COUNTY HEAL,21613,630860.59,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,DORI FOODS,23230,959020.38,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"DOURON, INC.",21117,794366.83,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"DUNNOCK,C E,TRANS INC",21613,62590.93,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,E&L TRANSPORT - BUS,21643,75340.49,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"EAGLE TRANSPORTATION,I",21631,155961.12,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"EMH ENVIRONMENTAL, INC",21738,27022.5,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"ENOME, INC.",94401,35700,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"ENVIRONMENTAL TESTING,",19709,35861.35,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,EPLUS TECHNOLOGY INC.,19464,30454,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,EQUAL OPPORTUNITY SCHO,98109,72892.81,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,FASTENAL INDUST. & CON,55987-1286,117546.9,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,FLYNN MID ATLANTIC LP,21090,705430,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,FOLLETT SCHOOL SOLUTIO,60693-0918,41073.71,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"FOR ALL SEASONS, INC.",21601,26000,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,FPC DISTRIBUTION,21075,58055.39,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"GARLAND/DBS, INC.",44105,449054.41,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,HATCH EARLY LEARNING,27101,74678.5,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"HOPKINS SALES CO., INC",21601,117541.87,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"HORD/COPLAN/MACHT, INC",21202,196728.43,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"HOTTEN,SHIRLEY - BUS",21631,53523.97,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,HOUGHTON MIFFLIN CO.,60693,293512.18,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,JAMES COLLINS,21613,54542.64,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"JAMESWAY,INC - BUS",21613,51130.29,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"JOHNSON CONTROLS, INC.",75373,40082.64,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,KAGAN,92673-2008,48232.3,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"LABOR FIRST, LLC",8054,876574.05,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,LAKESHORE,90895,51461.11,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,LEARNING CITY,33334,75249,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE,21401,29398,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE GROUP INSURANCE P,21401,171122,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE-WORKERS COMP SELF,21401,293452,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND COALITIION OF,21044,73516.2,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND DEPT OF JUVEN,21201,47294.7,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND STATE RETIREM,21202,1543550.8,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"MCCOLLISTER,STEVEN H -",21613,62122.46,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MD CHILD SUPPORT ACCOU,21297-1396,60554.47,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MID SHORE COMMUNITY ME,21601,56000,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MSEA,21401,296066.34,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MUNICIPAL UTILITIES CO,21613,59580.94,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,NEWCOMB INC. - BUS,21622,228809.88,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"NIXON SR., VINCENT W.",21643,282574.68,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,NORTH DORCHESTER HIGH,21643,50389.28,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,NORTHBAY,21901,26055,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,PERFORMANCE MATTERS LL,85250,75725,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"PESSIN KATZ LAW, P.A.",21204,137496.95,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,PINE HILL LANDSCAPING,21664,113015.76,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,PIVOT PHYSICAL THERAPY,21286,50000,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,PORTER CAPITAL CORPORA,35202,69223.6,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,POWERSCHOOL GROUP LLC,94139-8408,120160,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"R & R TRANSPORTATION,I",21643,100636.35,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,REGIONAL TRAINING CENT,7869,137832,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,SALISBURY UNIVERSITY,21802-2195,129152,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"SCH TRANSPORTATION, LL",21643,130581.55,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"SCHAUBER, INC.",21622,59342.92,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,SCHOOL SPECIALTY,60693-0326,34804.64,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,SIMMONS CENTER MARKET,21613,121595.85,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,SOLIANT HEALTH,60055-4430,344331.03,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,SPECIALIZED EDUCATION,8103,673348.91,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,STANDARD LIFE INSURANC,97208-6367,85207.33,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,STAPLES ADVANTAGE,19176-0242,228261.67,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"STEWART,RUSSELL & MILD",21613,148439.31,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,TALBOT CO PUBLIC SCHOO,21601,337612.01,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,TALBOT CO. PUBLIC SCHO,21601,50029.17,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,TATE ENGINEERING SYSTE,21227,137812.46,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"TAYLOR,GEORGE/KAREN -",29063,67308.17,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,TGM GROUP  LLC,21804,45950,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,THE HARBOUR SCHOOL,21122,39474,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,THE JEFFERSON SCHOOL,21279-0751,57530.88,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"THOMAS,J T - BUS",21631,64655.21,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,TINA THOMPSON,21869,62480.77,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"TODD,DEBBIE - BUS",21643,71054.39,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"TOLLEY,SHIRLEY - BUS",21613,353878.93,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"TURNITIN, LLC",94139,43925,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,VALUE  CARPET ONE,21801,30167,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,VERIZON,08650-4830,39344.37,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,VERIZON WIRELESS,18002,36119.22,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,VITECH CONSULTING LLC,21629,46331.79,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,VOYAGER SOPRIS LEARNIN,02284-4615,51100.82,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WASHINGTON GAS ENERGY,19101-5047,96702.44,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WASTE MANAGEMENT,40290-1054,107318.88,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WGL ENERGY SERVICES,22102,633637.84,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"WGL ENERGY SYSTEMS, IN",22182-2260,84355.61,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WHITING-TURNER CONTRAC,21297,4031053,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WICOMICO COUNTY BOARD,21801,52155.5,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WILL BROWN'S TRUCK REP,21613,73785.95,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WILSON LANGUAGE TRAINI,1540,103233.5,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,XEROX CORPORATION,19182-7598,308715.41,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,ZONAR SYSTEMS,75320-7038,28588.92,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,AERO ENERGY Total,21297,209589.91,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,ALTIUS COMMUNICATIONS Total,21031,34659.85,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,BCI CAPITAL MANAGEMENT GROUP Total,32801,141424.8,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,BOARD OF CHILD CARE OF UMCHURCH INC Total,21244,52501.54,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,BUSINESS CARD Total (Bank of America),19886,247536.73,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"CAPITOL BOILER WORKS, INC Total",21830,55589.1,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CAREFIRST BLUECROSS/BLUESHIELD Total,19178,3845380.08,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"CBIZ & BSC GROUP, LLC Total",30384,49000,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CDW GOVERNMENT INC Total,60675,81305.2,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CHESTER RIVER DIESEL LLC Total,21668,33259.04,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CHOPTANK ELECTRIC Total,21629,138234,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CHRISTIANA MECHANICAL INC. Total,19709,49717.37,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CHRISTINA SCHOOL DISTRICT Total,19801,110946,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"CHYKE MAURICE & ASSOCIATES, INC Total",21802,30429.92,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CLOVERLAND FARMS DAIRY Total,02241,58536.65,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,DE NICHOLSON PLUMBING Total,21678,33787.36,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,DELMARVA POWER Total,19101,89837.49,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,DISCOVERY EDUCATION Total,30374,30298.4,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,EDUCATIONAL FACILITIES PLANNING LLC Total,21409,35272.95,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,FPC DISTRIBUTION Total,21075,71818.89,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"KENT CO COMMISSIONERS, SOLAR Total",21620,78116.57,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,KENT COUNTY COMMISSIONERS,21620,196380.39,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,KENT COUNTY HEALTH DEPT Total,21620,334447.44,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"LABOR FIRST, LLC Total",08054,365739.17,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,MABE CLAIMS UNIT Total,21401,31500.98,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,MABE GROUP INSURANCE POOL,21401,52961,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,MABE-WORKERS' COMP SELF-INSURANCE Total,21401,162704,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,MARYLAND UNEMPLOYMENT INSURANCE Total,21297,30505.1,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,MCGRAW-HILL COMPANIES Total,60694,41421.26,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"NOELKER & HULL ASSOC., INC Total",17201,75377.11,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,NORTHWEST EDUCATION ASSOCIATION Total,97209,35925,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,OFFICE DEPOT Total,45263,42858.36,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,P K LAW Total,21204,85420.13,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,PAMELA J AYRES Total,21921,26200,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,PARADEE GAS CO Total,19901,32458.87,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,POWER SCHOOL GROUP LLC Total,94139,82645.41,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,QUEEN ANNE'S CO PUBLIC SCHOOLS Total,21617,80494,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,SECURITY BENEFITS GROUP Total,66675,120733.8,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,SHOREHAVEN INC Total,21921,198679.31,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,SOLIANT HEALTH Total,60055,37636.75,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"SPECIALIZED EDUCATION OF DE, INC Total",08103,65653.05,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"SPECIALIZED EDUCATION OF MD, INC Total",08103,363955,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,STANDARD INSURANCE CO. Total,97228,61407.97,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,SYSCO EASTERN MD Total,21851,376923.09,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,TOP NOTCH LAWN CARE Total,21640,46925,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,VARIABLE ANNUITY LIFE INS CO Total,75303,193436,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,VERIZON (LL) Total,8650,34116.13,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,VERIZON WIRELESS Total,18002,142308.36,NA,NA,KENT COUNTY PUBLIC SCHOOLS
