Fiscal Year,Agency Name,Payee Name,Payee Zip,Amount,Purpose of Payment (Baltimore County only),MBE
2019,Allegany County Public Schools,SOUTHERN STATES COOP INC,21502,165165.87,,
2019,Allegany County Public Schools,WEISS BROS OF HAGERSTOWN INC,21740,153010.37,,
2019,Allegany County Public Schools,NELLIE M RADER,21555,148851,,
2019,Allegany County Public Schools,JOY L TORBET,21502,142402,,
2019,Allegany County Public Schools,MURRAY BUSING INC,21502,131968,,
2019,Allegany County Public Schools,ARK SYSTEMS INC,21045,129463.75,,
2019,Allegany County Public Schools,NATIONAL VISION ADMINISTRATORS LLC,02241-6421,128501.12,,
2019,Allegany County Public Schools,NATIONAL CENTER ON INSTITUTIONS AND ALTERNATIVES,21244,128152.8,,
2019,Allegany County Public Schools,LESTER A CHANEY,21550,127205,,
2019,Allegany County Public Schools,PIVOT PHYSICAL THERAPY OF MARYLAND,21286,119426.88,,
2019,Allegany County Public Schools,SEGRA,25339-1171,119357.93,,
2019,Allegany County Public Schools,MARYLAND STATE DEPARTMENT OF EDUCATION,21201,113526.57,,
2019,Allegany County Public Schools,CBIZ BENEFITS & INSURANCE SERVICES,60673-1282,112807.98,,
2019,Anne Arundel Co. Public Schools,SDE Inc,03458-0577,35700,,
2019,Allegany County Public Schools,BEDFORD VALLEY PETROLEUM CORP,15537,109928.22,,
2019,Allegany County Public Schools,BURGMEIER'S HAULING INC,16603,99586.75,,
2019,Allegany County Public Schools,X2 DEVELOPMENT CORPORATION,60693-0620,98419,,
2019,Allegany County Public Schools,DEPARTMENT OF JUVENILE SERVICES,21201,94995.46,,
2019,Allegany County Public Schools,LIVENGOOD DEVORE & COMPANY INSURANCE,21502,91839,,
2019,Allegany County Public Schools,CONTRACT PAPER GROUP INC,60674,89510.4,,
2019,Allegany County Public Schools,FOOD SAFETY SOLUTIONS INC,19807,87658.24,,
2019,Allegany County Public Schools,K NEAL INTERNATIONAL TRUCKS INC,20781,87324,,
2019,Allegany County Public Schools,CITY OF FROSTBURG,21532,79615.12,,
2019,Allegany County Public Schools,WOODBOURNE CENTER INC,21239,77204.41,,
2019,Allegany County Public Schools,DAYCON,21264-9234,77133.47,,
2019,Allegany County Public Schools,FOLLETT SCHOOL SOLUTIONS,60693-0918,76864.76,,
2019,Allegany County Public Schools,MTS EQUIPMENT,22602,76323.21,,
2019,Allegany County Public Schools,DISCOVERY EDUCATION,30374,75123.15,,
2019,Allegany County Public Schools,FLETCHER TRANSPORTATION LLC,21555,74512,,
2019,Allegany County Public Schools,ALLEGANY HIGH SCHOOL,21502,74257.32,,
2019,Allegany County Public Schools,J A RADER,21555,73900,,
2019,Allegany County Public Schools,SCHOOL SPECIALTY INC,60693-0656,73709.86,,
2019,Allegany County Public Schools,CITY ELECTRIC ACCOUNTS,27415,73486.76,,
2019,Allegany County Public Schools,GRAFTON SCHOOL INC,22604,72932.5,,
2019,Allegany County Public Schools,G STEVEN HARTLEY,21766,71838,,
2019,Allegany County Public Schools,EVERGREEN HERITAGE CENTER FOUNDATION,21532-2345,70842,,
2019,Allegany County Public Schools,WESTERN MARYLAND 4-H EDUCATIONAL CENTER,21550,70349,,
2019,Allegany County Public Schools,LARRY E AKERS,21766,69481,,
2019,Allegany County Public Schools,GAMETIME,35968,68801.97,,
2019,Allegany County Public Schools,LANDIS OFFICE CENTER INC,21502,68485.67,,
2019,Allegany County Public Schools,RANDY D HELMICK,21530,68231,,
2019,Allegany County Public Schools,ROYCE CRABTREE JR,21555,66925.15,,
2019,Allegany County Public Schools,LEGO EDUCATION,60693,66372.75,,
2019,Allegany County Public Schools,LARVIC,17013,66267,,
2019,Allegany County Public Schools,ACEA-ESP,21505-5179,64981.47,,
2019,Allegany County Public Schools,MILLERS BUSING LLC,21539-1102,64640,,
2019,Allegany County Public Schools,SCHMIDT BAKING COMPANY,02241,63855.77,,
2019,Allegany County Public Schools,SCHOLASTIC INC,60175,63552.84,,
2019,Allegany County Public Schools,LOWES CREDIT SERVICES,30353-0954,62756.24,,
2019,Allegany County Public Schools,WESTERN MARYLAND OUTDOOR POWER INC,21502,61638.51,,
2019,Allegany County Public Schools,MCGRAW HILL SCHOOL EDUC HOLDINGS LLC,60694-1545,60111.24,,
2019,Allegany County Public Schools,XEROX CORPORATION,19182-7598,59643.25,,
2019,Allegany County Public Schools,LIBERTY DISTRIBUTORS INC,26059,59613.56,,
2019,Allegany County Public Schools,BELL TECHLOGIX,19182-3342,58915.8,,
2019,Allegany County Public Schools,BOLLMAN CHARTER SERVICE INC,21502,58600,,
2019,Allegany County Public Schools,IMAGINE LEARNING,84604,58242,,
2019,Allegany County Public Schools,PHYLLIS SHACKELFORD,21561,57566,,
2019,Allegany County Public Schools,STAPLES ADVANTAGE,19176-0242,57008.31,,
2019,Allegany County Public Schools,ALLEGANY COUNTY TAX & UTILITY OFFICE,21502,55127.88,,
2019,Allegany County Public Schools,TIME TECHNOLOGIES,24013,54840.82,,
2019,Allegany County Public Schools,PINE MOUNTAIN COAL COMPANY,21532,54610,,
2019,Allegany County Public Schools,PEARSON EDUCATION,30384-9496,54108.95,,
2019,Allegany County Public Schools,AFSCME COUNCIL 67,21230-1939,51295.04,,
2019,Allegany County Public Schools,OSTER BROTHERS TRUCK SERVICE,21502,50564.11,,
2019,Allegany County Public Schools,AMERICAN EXPRESS,33313-4571,49781.14,,
2019,Allegany County Public Schools,WESTERN MARYLAND MUSIC CENTER,21502,49345.13,,
2019,Allegany County Public Schools,HAJOCA CORPORATION,15253-5906,49036.96,,
2019,Allegany County Public Schools,E-Z OUT INC,21502,48090.25,,
2019,Allegany County Public Schools,MOUNTAIN RIDGE HIGH SCHOOL,21532,47645.52,,
2019,Baltimore City Schools,VEX ROBOTICS INC,75402,27838.16,,
2019,Allegany County Public Schools,FORT HILL HIGH SCHOOL,21502,47495.43,,
2019,Allegany County Public Schools,CINTAS CORPORATION LOC 386,45263-0803,47319.91,,
2019,Allegany County Public Schools,GREAT AMERICA FINANCIAL SERVICES,75266-0831,47061,,
2019,Allegany County Public Schools,METEOR EDUCATION,30353,44334.4,,
2019,Allegany County Public Schools,HUBER MICHAELS & COMPANY PA,21502,42890,,
2019,Allegany County Public Schools,VOYAGER SOPRIS LEARNING,02284-4615,42204.48,,
2019,Allegany County Public Schools,BLACKBOARD INC,15251-0154,41156.97,,
2019,Allegany County Public Schools,CENTER FOR CAREER & TECHNICAL EDUCATION,21502,40885.19,,
2019,Allegany County Public Schools,TERRI MURPHY-MCCAGH,21502,39475.57,,
2019,Allegany County Public Schools,WEX BANK,60197-6293,39032.28,,
2019,Allegany County Public Schools,BLACKBURN-RUSSELL COMPANY,15522-0157,38336.59,,
2019,Allegany County Public Schools,APSASAC,21502,38194,,
2019,Allegany County Public Schools,CANON FINANCIAL SERVICES INC,60693-0149,37959.82,,
2019,Allegany County Public Schools,RAPTOR TECHNOLOGIES,77210-4458,37950,,
2019,Allegany County Public Schools,EASTERN ELEVATOR SERVICE & SALES CO,15963-0158,37746.07,,
2019,Allegany County Public Schools,GRIMM & PARKER ARCHITECTS,20705,37662.17,,
2019,Allegany County Public Schools,MASTER CARE FLOORING,21229,36778.86,,
2019,Allegany County Public Schools,PESSIN KATZ LAW PA,21204,36754.44,,
2019,Allegany County Public Schools,KEANY PRODUCE COMPANY,20785,35733.56,,
2019,Allegany County Public Schools,NATIONAL FOOD GROUP INC,48377-2454,35566.9,,
2019,Allegany County Public Schools,AIRGAS MID AMERICA,75373,35464.73,,
2019,Allegany County Public Schools,BONTAY BUSINESS PRODUCTS,21502,35000.2,,
2019,Allegany County Public Schools,SALEM CHILDREN'S TRUST,21532,34563.82,,
2019,Allegany County Public Schools,ASSISTIVE TECHNOLOGY COMPANY,89107,34550,,
2019,Allegany County Public Schools,GARBER'S ICE CREAM COMPANY,22602,33497.42,,
2019,Allegany County Public Schools,FACILITY ENGINEERING ASSOCIATES PC,22033,33318,,
2019,Allegany County Public Schools,ELIZABETH V DOLLY,21555,32089,,
2019,Allegany County Public Schools,GARY HANNA,21502,31551.2,,
2019,Allegany County Public Schools,LAKESHORE LEARNING MATERIALS,90895,30826.88,,
2019,Allegany County Public Schools,LEARNING WITHOUT TEARS,20878,30686.44,,
2019,Allegany County Public Schools,THE MARYLAND SCHOOL FOR THE BLIND,21236,30518.36,,
2019,Allegany County Public Schools,DOURON INC,21117,30463.58,,
2019,Allegany County Public Schools,FRONTLINE TECHNOLOGIES INC,1178-0577,30372.36,,
2019,Allegany County Public Schools,ALLEGANY COUNTY COMMISSIONERS,21502,30287.9,,
2019,Allegany County Public Schools,FPC DISTRIBUTION,21075,29988.95,,
2019,Allegany County Public Schools,BUREAU FOR CHILD SUPPORT ENFORCEMENT,25321,29906.43,,
2019,Allegany County Public Schools,BALTIMORE COUNTY PUBLIC SCHOOLS,21204,29808,,
2019,Allegany County Public Schools,MAGGIE DREW,21532,29377.96,,
2019,Allegany County Public Schools,RE MICHEL COMPANY INC,21203,29320.22,,
2019,Allegany County Public Schools,SCHOOL HEALTH CORPORATION,60678-1067,28061.1,,
2019,Allegany County Public Schools,RACHEL WYER LLC,26726,27431.71,,
2019,Allegany County Public Schools,STATE OF MARYLAND,21203-0084,27398.89,,
2019,Allegany County Public Schools,MARYLAND CHILD SUPPORT ACCOUNT,21297-1396,27035.94,,
2019,Allegany County Public Schools,BOB MCCLOSKEY INSURANCE,07747,26643.85,,
2019,Allegany County Public Schools,"GEPPERT, MCMULLEN, PAYE & GETTY",21502,26162.5,,
2019,Allegany County Public Schools,QUILL CORPORATION,19101-0600,25984.85,,
2019,Allegany County Public Schools,WARD'S NATURAL SCIENCE EST LLC,15264-4312,25712.17,,
2019,Allegany County Public Schools,LINK COMPUTER CORPORATION,16617-0250,25548.39,,
2019,Allegany County Public Schools,CURRICULUM ASSOCIATES LLC,31193,25425.86,,
2019,Anne Arundel Co. Public Schools,CAREFIRST BLUE CROSS,21117,195673228.47,,
2019,Anne Arundel Co. Public Schools,ELECTRONIC FUNDS TRANSF PROG,80217-3788,155308576.83,,
2019,Anne Arundel Co. Public Schools,MD STATE RETIREMENT SYSTEM,21201,75577471.66,,
2019,Anne Arundel Co. Public Schools,COMPTROLLER OF MARYLAND,21401,41194739.77,,
2019,Anne Arundel Co. Public Schools,VALIC RETIREMENT SERVICES CO,77019,23122132.16,,
2019,Anne Arundel Co. Public Schools,TOWSON MECHANICAL INC,21234,18119114.41,,
2019,Anne Arundel Co. Public Schools,URBAN N ZINK CONTRACTOR INC,21027,13300121.7,,
2019,Anne Arundel Co. Public Schools,Monarch Academy Public Charter School,21234,11346453.21,,
2019,Anne Arundel Co. Public Schools,DISYS,20147,10755797.88,,
2019,Anne Arundel Co. Public Schools,"KaRon Masonry of Maryland, Inc.",20763,10594557.88,,
2019,Anne Arundel Co. Public Schools,U S BANK,63179-0428,10115638.56,,
2019,Anne Arundel Co. Public Schools,SA HALAC IRON WORKS INC,20166,9867441.46,,
2019,Anne Arundel Co. Public Schools,HP FINANCIAL SERVICES CORP.,07922,9191527.53,,
2019,Anne Arundel Co. Public Schools,"WGL ENERGY SERVICES, INC.",21093,8998479.66,,
2019,Anne Arundel Co. Public Schools,PHILLIPS WAY INC,21048,8948526.45,,
2019,Anne Arundel Co. Public Schools,KENNEDY KRIEGER INSTITUTE,21205,8376345.6,,
2019,Anne Arundel Co. Public Schools,ENTERPRISE ELECTRIC,21213,8168246.31,,
2019,Anne Arundel Co. Public Schools,Smith Bus Service Inc,60693-0322,8128743.88,,
2019,Anne Arundel Co. Public Schools,CDW LLC DBA CDW Government LLC,06484,7360190.08,,
2019,Anne Arundel Co. Public Schools,DORI FOOD INC,23230,7108827.29,,
2019,Anne Arundel Co. Public Schools,ANNAPOLIS BUS CO INC,21403,7089103.5,,
2019,Anne Arundel Co. Public Schools,Sheppard Pratt Health System Inc DBA Forbush School,21031,7062832.72,,
2019,Anne Arundel Co. Public Schools,DENVER-ELEK INC,21221,6712173.23,,
2019,Anne Arundel Co. Public Schools,ELECTRICAL AUTOMATION SERVICES,21122,6420334.74,,
2019,Anne Arundel Co. Public Schools,VATICA CONTRACTING INC,20781,6321944.72,,
2019,Anne Arundel Co. Public Schools,BALTIMORE GAS & ELECTRIC CO,19101-3070,5928703.33,,
2019,Anne Arundel Co. Public Schools,"G H Nitzel, Inc.",21162,5360826.36,,
2019,Anne Arundel Co. Public Schools,ZEPHYR ALUMINUM INC,21784,5323112.77,,
2019,Anne Arundel Co. Public Schools,WILLIAM KLINGENSMITH INC,20740,5300251.36,,
2019,Anne Arundel Co. Public Schools,GEORGE MOEHRLE MASONRY INC,21703-7849,5020116.02,,
2019,Anne Arundel Co. Public Schools,JUBBS BUS SERVICE INC,21060,4793011.24,,
2019,Anne Arundel Co. Public Schools,TEACHERS ASSOCIATION OF ANNE ARUNDEL CO,21401,4742069.37,,
2019,Anne Arundel Co. Public Schools,"BALTIMORE CONTRACTORS, INC",21061,4606703.03,,
2019,Anne Arundel Co. Public Schools,CITIROOF CORPORATION,21046-1577,4569629.16,,
2019,Anne Arundel Co. Public Schools,KEY SYSTEMS INC,21162,4514068.4,,
2019,Anne Arundel Co. Public Schools,GE TIGNALL,21030,4445818.3,,
2019,Anne Arundel Co. Public Schools,CANYON CONTRACTING INC.,21771-7784,4343977.07,,
2019,Anne Arundel Co. Public Schools,BOWINGS & HUBER LLC DBA: BOMARK ELECTRIC,21074,4334000.79,,
2019,Anne Arundel Co. Public Schools,LONERGAN'S CHARTER SERVICE INC,21108,4213195.17,,
2019,Anne Arundel Co. Public Schools,HOMEWOOD GENERAL CONTRACTORS,21030,4206825.03,,
2019,Anne Arundel Co. Public Schools,"ANNE ARUNDEL COUNTY, MD ACCOUNTING & CONTROL",21404,3989151.43,,
2019,Anne Arundel Co. Public Schools,HARBOUR SCHOOL,21409,3935319.55,,
2019,Anne Arundel Co. Public Schools,LOCUST LANE FARMS INC,20773,3919492.72,,
2019,Anne Arundel Co. Public Schools,JACOBS PROJECT MANAGEMENT CO,22201,3822090.65,,
2019,Anne Arundel Co. Public Schools,SPECIALIZED EDUC OF MD INC,08103,3718838.13,,
2019,Anne Arundel Co. Public Schools,TEMP-AIR COMPANY INC,21117,3667096.49,,
2019,Anne Arundel Co. Public Schools,DALY COMPUTERS INC,20871,3618898.98,,
2019,Anne Arundel Co. Public Schools,"ACTION ELECTRICAL CONTRACTORS, INC",21001,3160069.19,,
2019,Anne Arundel Co. Public Schools,CHESAPEAKE CHARTER INC,21409,3144927.63,,
2019,Anne Arundel Co. Public Schools,RE WILSON & SONS INC,21032,2908747.89,,
2019,Anne Arundel Co. Public Schools,CROFTON CHARTERS INC .,21054,2887457.46,,
2019,Anne Arundel Co. Public Schools,NORTH POINT BUILDERS INC,21222-1031,2885747.78,,
2019,Anne Arundel Co. Public Schools,MBG ENTERPRISES,21077,2805858.33,,
2019,Anne Arundel Co. Public Schools,MARYLAND MECHANICAL SYSTEMS,21224,2672189.92,,
2019,Anne Arundel Co. Public Schools,TECH CONTRACTING CO INC,21224,2661739.86,,
2019,Anne Arundel Co. Public Schools,SODY CONCRETE CONSTRUCTION INC,21236,2660664.64,,
2019,Anne Arundel Co. Public Schools,M3 Contracting LLC,19713,2639996.42,,
2019,Anne Arundel Co. Public Schools,HUBERS II INC,21061,2602318.86,,
2019,Anne Arundel Co. Public Schools,J VINTON SCHAFER & SONS INC,21009,2578909.64,,
2019,Anne Arundel Co. Public Schools,DISCOVERY BENEFITS,58103,2570886.31,,
2019,Anne Arundel Co. Public Schools,Huntington & Hopkins Inc,21031,2381775.14,,
2019,Anne Arundel Co. Public Schools,"PAPCO, iNC.",19014,2376611.1,,
2019,Anne Arundel Co. Public Schools,CBRE Heery Inc,20785,2284984.82,,
2019,Anne Arundel Co. Public Schools,WHITING TURNER CONTRACTING CO,21286,2242254.46,,
2019,Anne Arundel Co. Public Schools,CHESAPEAKE SCIENCE POINT,21076,2147567.46,,
2019,Anne Arundel Co. Public Schools,SIMPSON OF MARYLAND INC,21076-3108,2050776.75,,
2019,Anne Arundel Co. Public Schools,GARY L AISQUITH,21140,1990852.52,,
2019,Anne Arundel Co. Public Schools,CLOVERLAND DAIRY LP,21218,1938686.15,,
2019,Anne Arundel Co. Public Schools,"LEN SEC, LLC",77042,1898713.37,,
2019,Anne Arundel Co. Public Schools,"ST ELIZABETH SCHOOL, INC",21218,1890765.82,,
2019,Anne Arundel Co. Public Schools,SMOLEN EMR ILKOVITCH ARCHITECTS,20850,1854135.23,,
2019,Anne Arundel Co. Public Schools,DOURON INC,21117,1841543.92,,
2019,Anne Arundel Co. Public Schools,CHILDREN'S GUILD INC,21234,1809393.22,,
2019,Anne Arundel Co. Public Schools,BROOKS TRANSPORTATION,21122,1782226.14,,
2019,Anne Arundel Co. Public Schools,STEEL PRODUCTS INC,20850,1753915.41,,
2019,Anne Arundel Co. Public Schools,CIGNA,21046,1729828.22,,
2019,Anne Arundel Co. Public Schools,STELLA MAY CONTRACTING INC,21040,1727383.61,,
2019,Anne Arundel Co. Public Schools,VERIZON,75266-0720,1713504.81,,
2019,Anne Arundel Co. Public Schools,NorthStar Contracting Group,21227,1710181,,
2019,Anne Arundel Co. Public Schools,"Brawner Builders, Inc.",21031,1684896.91,,
2019,Anne Arundel Co. Public Schools,"Ricoh USA, Inc",21230,1660894.47,,
2019,Anne Arundel Co. Public Schools,LANE'S BUS SERVICE INC,20776,1604980.41,,
2019,Anne Arundel Co. Public Schools,BALDWIN MECHANICAL CONTRACTORS,21237,1561597.12,,
2019,Anne Arundel Co. Public Schools,CGI Technologies and Solutions Inc,12211,1537124.98,,
2019,Anne Arundel Co. Public Schools,"CAN-AM CONTRACTORS, INC.",20705,1530960.58,,
2019,Anne Arundel Co. Public Schools,EMPLOYEE PLANS SERVICES INC,20910,1506934.53,,
2019,Anne Arundel Co. Public Schools,CGC Holdings Inc dba Capital Seaboard,20794,1496320.9,,
2019,Anne Arundel Co. Public Schools,LINWOOD CHILDRENS CENTER,21043,1411751,,
2019,Anne Arundel Co. Public Schools,"J.A. ARGETAKIS CONTRACTING CO., INC.",21224,1341517.04,,
2019,Anne Arundel Co. Public Schools,ASTRO TURF CORP,30721,1295255,,
2019,Anne Arundel Co. Public Schools,CT ELECTRICAL CORP,21035,1291815.58,,
2019,Anne Arundel Co. Public Schools,"Gradient Construction, LLC",20732,1259688.31,,
2019,Anne Arundel Co. Public Schools,WILSON'S BUS SERVICE INC,21122,1253914.11,,
2019,Anne Arundel Co. Public Schools,McGraw-Hill Education Inc,43218-2605,1239954.19,,
2019,Anne Arundel Co. Public Schools,TRANE COMPANY,21031,1231411.15,,
2019,Anne Arundel Co. Public Schools,ATLASCOPCO CONSTRUCTION CO,20877,1225038.11,,
2019,Anne Arundel Co. Public Schools,GRIMM AND PARKER PC,20705,1218512.92,,
2019,Anne Arundel Co. Public Schools,COLLEGE BOARD,10281,1209692,,
2019,Anne Arundel Co. Public Schools,PowerSchool Group LLC,95630,1196479.87,,
2019,Anne Arundel Co. Public Schools,FAY'S BUS SERVICE INC,21122,1162289.61,,
2019,Anne Arundel Co. Public Schools,TUCKMAN-BARBEE CONSTRUCTION,20774,1128830.5,,
2019,Anne Arundel Co. Public Schools,OAK CONTRACTING L.L.C.,21286,1106127.89,,
2019,Anne Arundel Co. Public Schools,NORTH COUNTY BUS CO INC,21060,1083262.84,,
2019,Anne Arundel Co. Public Schools,Constellation NewEnergy-Gas,60132-2059,1080671.66,,
2019,Anne Arundel Co. Public Schools,IRONSHORE CONTRACTING LLC,21090,1046253.85,,
2019,Anne Arundel Co. Public Schools,C. MUHL BUS SERVICE INC,21123,1037308.56,,
2019,Anne Arundel Co. Public Schools,KINSLEY CONSTRUCTION INC,17405,1027322.98,,
2019,Anne Arundel Co. Public Schools,11400 INC,17601,1027259.27,,
2019,Anne Arundel Co. Public Schools,THE PATHWAYS SCHOOL,20902,1020244.68,,
2019,Anne Arundel Co. Public Schools,"W.B. MASON CO., INC.",21046,985883.24,,
2019,Anne Arundel Co. Public Schools,HORD COPLAN MACHT,21202,971983.6,,
2019,Anne Arundel Co. Public Schools,American Truck & Bus Inc.,21401-7074,940604.52,,
2019,Anne Arundel Co. Public Schools,ARROW CENTER,77365,928235.25,,
2019,Anne Arundel Co. Public Schools,AUTUMN CONTRACTING INC,22151,907834.96,,
2019,Anne Arundel Co. Public Schools,LEE'S ELECTRICAL CONTRACTING,21221,876804.8,,
2019,Anne Arundel Co. Public Schools,AUDIO VISUAL INNOVATIONS INC,21045,814174.21,,
2019,Anne Arundel Co. Public Schools,NICHOLAS P PIPINO & ASSOCIATE,20794,796677.98,,
2019,Anne Arundel Co. Public Schools,Houghton Mifflin/Harcourt,32819,778314.43,,
2019,Anne Arundel Co. Public Schools,BELL TECHLOGIX,23294,776293.07,,
2019,Anne Arundel Co. Public Schools,IMAGE ASPHALT MAINTENANCE INC,21122,763652.57,,
2019,Anne Arundel Co. Public Schools,L & R ENTERPRISES Inc.,20781,758273.32,,
2019,Anne Arundel Co. Public Schools,Culinary Ventures Maryland,20736,756980.58,,
2019,Anne Arundel Co. Public Schools,TCA ARCHITECTS,21032,750698.6,,
2019,Anne Arundel Co. Public Schools,CLYDE MCHENRY INC,20781,737757.49,,
2019,Anne Arundel Co. Public Schools,JAMES POSEY ASSOCIATES INC,21117,719468.97,,
2019,Anne Arundel Co. Public Schools,MANSFIELD OIL COMPANY,30501,701857.95,,
2019,Anne Arundel Co. Public Schools,RELIABLE CONTRACTING CO INC,21054,693613.89,,
2019,Anne Arundel Co. Public Schools,CHIMES INC,21215,684271.27,,
2019,Anne Arundel Co. Public Schools,J&K CONTRACTING,20772,679640.5,,
2019,Anne Arundel Co. Public Schools,WATER & SEWAGE SERVICE,21404,669721.99,,
2019,Anne Arundel Co. Public Schools,SF&C INSURANCE ASSOCIATES INC,21204,660302.54,,
2019,Anne Arundel Co. Public Schools,LINDSAY FORD,20902,620200,,
2019,Anne Arundel Co. Public Schools,GWWO,21211,613053.71,,
2019,Anne Arundel Co. Public Schools,SYSTCOM INC,21226,613031,,
2019,Anne Arundel Co. Public Schools,INTERIOR SPECIALISTS INC,21162,608395.87,,
2019,Anne Arundel Co. Public Schools,DAKTRONICS INC,57006-5128,595160.5,,
2019,Anne Arundel Co. Public Schools,"PERFORMANCE MATTERS, LLC",78746,594825,,
2019,Anne Arundel Co. Public Schools,HCGI HARTFORD,21044,593140.32,,
2019,Anne Arundel Co. Public Schools,REGIONAL INSTITUTE FOR,21229,591022,,
2019,Anne Arundel Co. Public Schools,Baltimore Lab School Inc,21218,572960.64,,
2019,Anne Arundel Co. Public Schools,MD CHILD SUPPORT,21297-1396,567924.53,,
2019,Anne Arundel Co. Public Schools,Veritiv Operating Co,20794,566959.61,,
2019,Anne Arundel Co. Public Schools,INDEPENDENT HARDWARE INC,19106,548982.69,,
2019,Anne Arundel Co. Public Schools,KONE INC,21090,546607.94,,
2019,Anne Arundel Co. Public Schools,ASSOCIATED CABS INC,60693-0322,536271.22,,
2019,Anne Arundel Co. Public Schools,EMH ENVIRONMENTAL INC,21738,532067,,
2019,Anne Arundel Co. Public Schools,INTERNATIONAL BACCALAUREATE,10115,531313,,
2019,Anne Arundel Co. Public Schools,E PIKOUNIS CONSTRUCTION CO INC,21231,529867.94,,
2019,Anne Arundel Co. Public Schools,"Myco Mechanical, Inc.",18969,518130,,
2019,Anne Arundel Co. Public Schools,Game Time,28224,516162.66,,
2019,Anne Arundel Co. Public Schools,NASTOS CONSTRUCTION,20019,509721.87,,
2019,Anne Arundel Co. Public Schools,LORENZ LAWN AND LANDSCAPE INC,21208,504863,,
2019,Anne Arundel Co. Public Schools,MARYLAND ENVIRONMENTAL SERVICE,21108,498611.92,,
2019,Anne Arundel Co. Public Schools,JNA PAINTING CO INC,21224,497409.08,,
2019,Anne Arundel Co. Public Schools,GL GROUP INC,63110,496472.97,,
2019,Anne Arundel Co. Public Schools,Rutherford Supply Corporation,20794,496062.16,,
2019,Anne Arundel Co. Public Schools,BALTIMORE COUNTY PUBLIC SCHOOL,21204,491080.98,,
2019,Anne Arundel Co. Public Schools,HORACE MANN INSURANCE CO,62715,485935.37,,
