fiscal_year,agency_name,payee_name,payee_name_clean,payee_zip,amount,purpose_of_payment_baltimore_county_only,mbe,agency_name_clean
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"GARLAND/DBS, INC.","GARLAND/DBS, INC.",44105,449054.41,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,HATCH EARLY LEARNING,HATCH EARLY LEARNING,27101,74678.5,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"HOPKINS SALES CO., INC",HOPKINS SALES CO INC,21601,117541.87,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"HORD/COPLAN/MACHT, INC",HORD/COPLAN/MACHT INC,21202,196728.43,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"HOTTEN,SHIRLEY - BUS","HOTTEN,SHIRLEY - BUS",21631,53523.97,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,HOUGHTON MIFFLIN CO.,HOUGHTON MIFFLIN CO.,60693,293512.18,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,JAMES COLLINS,JAMES COLLINS,21613,54542.64,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"JAMESWAY,INC - BUS","JAMESWAY,INC - BUS",21613,51130.29,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"JOHNSON CONTROLS, INC.",JOHNSON CONTROLS INC,75373,40082.64,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,KAGAN,KAGAN,92673-2008,48232.3,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"LABOR FIRST, LLC",LABOR FIRST LLC,8054,876574.05,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,LAKESHORE,LAKESHORE,90895,51461.11,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,LEARNING CITY,LEARNING CITY,33334,75249,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE,MABE,21401,29398,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE GROUP INSURANCE P,MABE GROUP INSURANCE POOL,21401,171122,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MABE-WORKERS COMP SELF,MABE WORKERS COMP SELF INSURANCE,21401,293452,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND COALITIION OF,MARYLAND COALITION OF FAMILIES,21044,73516.2,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND DEPT OF JUVEN,MARYLAND DEPARTMENT OF JUVENILE SERVICES,21201,47294.7,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MARYLAND STATE RETIREM,MARYLAND STATE RETIREMENT,21202,1543550.8,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"MCCOLLISTER,STEVEN H -","MCCOLLISTER, STEVEN H - BUS",21613,62122.46,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MD CHILD SUPPORT ACCOU,MD CHILD SUPPORT ACCOUNT,21297-1396,60554.47,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MID SHORE COMMUNITY ME,MID SHORE COMMUNITY MEDIATION,21601,56000,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MSEA,MSEA,21401,296066.34,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,MUNICIPAL UTILITIES CO,MUNICIPAL UTILITIES COMMISSION,21613,59580.94,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,NEWCOMB INC. - BUS,NEWCOMB INC. - BUS,21622,228809.88,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"NIXON SR., VINCENT W.","NIXON SR., VINCENT W.",21643,282574.68,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,NORTH DORCHESTER HIGH,NORTH DORCHESTER HIGH SCHOOL,21643,50389.28,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,NORTHBAY,NORTHBAY,21901,26055,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,PERFORMANCE MATTERS LL,PERFORMANCE MATTERS LLC,85250,75725,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"PESSIN KATZ LAW, P.A.","PESSIN KATZ LAW, P.A.",21204,137496.95,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,PINE HILL LANDSCAPING,PINE HILL LANDSCAPING,21664,113015.76,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,PIVOT PHYSICAL THERAPY,PIVOT PHYSICAL THERAPY,21286,50000,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,PORTER CAPITAL CORPORA,PORTER CAPITAL CORPORA,35202,69223.6,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,POWERSCHOOL GROUP LLC,POWERSCHOOL GROUP LLC,94139-8408,120160,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"R & R TRANSPORTATION,I",R & R TRANSPORTATION INC - BUS,21643,100636.35,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,REGIONAL TRAINING CENT,REGIONAL TRAINING CENTER,7869,137832,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,SALISBURY UNIVERSITY,SALISBURY UNIVERSITY,21802-2195,129152,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"SCH TRANSPORTATION, LL",SCH TRANSPORTATION LLC,21643,130581.55,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"SCHAUBER, INC.","SCHAUBER, INC.",21622,59342.92,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,SCHOOL SPECIALTY,SCHOOL SPECIALTY,60693-0326,34804.64,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,SIMMONS CENTER MARKET,SIMMONS CENTER MARKET,21613,121595.85,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,SOLIANT HEALTH,SOLIANT HEALTH,60055-4430,344331.03,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,SPECIALIZED EDUCATION,SPECIALIZED EDUCATION,8103,673348.91,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,STANDARD LIFE INSURANC,STANDARD LIFE INSURANCE COMPANY,97208-6367,85207.33,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,STAPLES ADVANTAGE,STAPLES ADVANTAGE,19176-0242,228261.67,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"STEWART,RUSSELL & MILD","STEWART, RUSSELL & MILDRED - BUS",21613,148439.31,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,TALBOT CO PUBLIC SCHOO,TALBOT COUNTY PUBLIC SCHOOLS,21601,337612.01,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,TALBOT CO. PUBLIC SCHO,TALBOT COUNTY PUBLIC SCHOOLS,21601,50029.17,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,TATE ENGINEERING SYSTE,TATE ENGINEERING SYSTEMS INC,21227,137812.46,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"TAYLOR,GEORGE/KAREN -","TAYLOR,GEORGE/KAREN -",29063,67308.17,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,TGM GROUP  LLC,TGM GROUP LLC,21804,45950,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,THE HARBOUR SCHOOL,THE HARBOUR SCHOOL,21122,39474,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,THE JEFFERSON SCHOOL,THE JEFFERSON SCHOOL,21279-0751,57530.88,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"THOMAS,J T - BUS","THOMAS,J T - BUS",21631,64655.21,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,TINA THOMPSON,TINA THOMPSON,21869,62480.77,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"TODD,DEBBIE - BUS","TODD,DEBBIE - BUS",21643,71054.39,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"TOLLEY,SHIRLEY - BUS","TOLLEY,SHIRLEY - BUS",21613,353878.93,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"TURNITIN, LLC","TURNITIN, LLC",94139,43925,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,VALUE  CARPET ONE,VALUE  CARPET ONE,21801,30167,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,VERIZON,VERIZON,08650-4830,39344.37,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,VERIZON WIRELESS,VERIZON,18002,36119.22,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,VITECH CONSULTING LLC,VITECH CONSULTING LLC,21629,46331.79,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,VOYAGER SOPRIS LEARNIN,VOYAGER SOPRIS LEARNING,02284-4615,51100.82,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WASHINGTON GAS ENERGY,WASHINGTON GAS ENERGY,19101-5047,96702.44,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WASTE MANAGEMENT,WASTE MANAGEMENT,40290-1054,107318.88,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WGL ENERGY SERVICES,WGL ENERGY SERVICES INC,22102,633637.84,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,"WGL ENERGY SYSTEMS, IN",WGL ENERGY SERVICES INC,22182-2260,84355.61,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WHITING-TURNER CONTRAC,THE WHITING-TURNER CONTRACTING CO,21297,4031053,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WICOMICO COUNTY BOARD,WICOMICO COUNTY BOARD OF EDUCATION,21801,52155.5,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WILL BROWN'S TRUCK REP,WILL BROWN'S TRUCK REPAIR,21613,73785.95,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,WILSON LANGUAGE TRAINI,WILSON LANGUAGE TRAINING,1540,103233.5,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,XEROX CORPORATION,XEROX CORPORATION,19182-7598,308715.41,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,DORCHESTER COUNTY PUBLIC SCHOOLS,ZONAR SYSTEMS,ZONAR SYSTEMS,75320-7038,28588.92,NA,NA,DORCHESTER COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,AERO ENERGY Total,AERO ENERGY Total,21297,209589.91,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,ALTIUS COMMUNICATIONS Total,ALTIUS COMMUNICATIONS Total,21031,34659.85,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,BCI CAPITAL MANAGEMENT GROUP Total,BCI CAPITAL MANAGEMENT,32801,141424.8,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,BOARD OF CHILD CARE OF UMCHURCH INC Total,BOARD OF CHILD CARE OF UMCHURCH INC Total,21244,52501.54,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,BUSINESS CARD Total (Bank of America),BUSINESS CARD Total (Bank of America),19886,247536.73,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"CAPITOL BOILER WORKS, INC Total",CAPITOL BOILER WORKS INC,21830,55589.1,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CAREFIRST BLUECROSS/BLUESHIELD Total,CAREFIRST BLUE CROSS BLUE SHIELD,19178,3845380.08,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"CBIZ & BSC GROUP, LLC Total",CBIZ & BSC GROUP LLC,30384,49000,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CDW GOVERNMENT INC Total,CDW GOVERNMENT,60675,81305.2,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CHESTER RIVER DIESEL LLC Total,CHESTER RIVER DIESEL LLC,21668,33259.04,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CHOPTANK ELECTRIC Total,CHOPTANK ELECTRIC COOPERATIVE INC,21629,138234,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CHRISTIANA MECHANICAL INC. Total,CHRISTIANA MECHANICAL INC. Total,19709,49717.37,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,CHRISTINA SCHOOL DISTRICT Total,CHRISTINA SCHOOL DISTRICT,19801,110946,NA,NA,KENT COUNTY PUBLIC SCHOOLS
2019,Kent County Public Schools,"CHYKE MAURICE & ASSOCIATES, INC Total",CHYKE MAURICE & ASSOCIATES INC,21802,30429.92,NA,NA,KENT COUNTY PUBLIC SCHOOLS
